"id","centroid_x","centroid_y","polygon_source","area_mine_ha","country_name","dist_road_m","dist_power_line_m","dist_substation_m","dist_airport_m","dist_waterbody_m","dist_urban_m","avg_PVOUT","avg_GHI","avg_TEMP","avg_wind_speed_ms_50m","avg_wind_power_density_Wm2_50m","dist_PHES_upper_m","dist_PHES_lower_m","avg_elevation","dist_KBA_m","dist_PA_m","suitable_solar","suitable_wind","suitable_phes"
"A0044231",106.371497004273,21.1968903468912,"Tang & Werner 2023",4.76553952028953,"Vietnam",11366.2140628559,89.2076402609712,9264.49507648558,22737.2359954166,7275.91998822902,6544.8112523751,2.94199991226196,3.60150003433228,23.3125,5.49760341644287,247.135330200195,82675.9656173587,80718.9035012024,17,24165.7184916962,5025.9780956735,FALSE,FALSE,FALSE
"A0044232",106.355572194633,21.2013462411774,"Tang & Werner 2023",3.86340553075838,"Vietnam",11307.7201310255,5.64881319640297,8457.08128681318,21848.1101854007,6064.18456960581,8085.12055288163,2.97000002861023,3.62700009346008,23.4375,5.685950756073,263.874389648438,84389.7316647542,82616.745154228,11.5,26028.0552754828,5578.26247060611,FALSE,FALSE,FALSE
"A0044233",106.406452636195,21.1328997354479,"Tang & Werner 2023",13.2421142748457,"Vietnam",15754.119843649,1525.34316447725,1512.26209940097,21756.9999410734,2369.80762584599,0,2.96300005912781,3.62049996852875,23.4583333333333,4.85580062866211,177.743476867676,77549.7071614187,75526.7005047277,9.5,21139.4487376739,714.920734564774,FALSE,FALSE,FALSE
"A0044234",106.405842349852,21.136375925875,"Tang & Werner 2023",8.34797157499895,"Vietnam",15882.4415088045,1679.61073848265,1815.38499813688,21898.7275814515,2416.44697377264,0,2.96000003814697,3.6175000667572,23.375,4.94047784805298,189.766494750977,77705.6939673942,75688.1896840867,14.25,21058.1494784433,851.624905819447,FALSE,FALSE,FALSE
"A0044235",106.410202267482,21.1384826292198,"Tang & Werner 2023",2.51172489588096,"Vietnam",16552.5364086833,1517.18326515905,1848.02234681242,22570.3511573086,2170.1999232251,0,2.95900011062622,3.61849999427795,23.375,5.12290108203888,218.792175292969,77465.6142845962,75450.8549905285,17,20727.4034683546,1522.52329353271,FALSE,FALSE,FALSE
"A0044236",106.400935407473,21.1380878781888,"Tang & Werner 2023",6.55292328830679,"Vietnam",15536.5809948455,2388.29734143613,2328.96889811032,21566.3635916988,3097.9480269893,0,2.95749998092651,3.61500000953674,23.375,4.92556810379028,188.450119018555,78394.5197505985,76379.2719828364,22.5,21600.7478932847,532.344289731497,FALSE,FALSE,FALSE
"A0044237",106.402862007715,21.1400918681266,"Tang & Werner 2023",0.805237449781719,"Vietnam",15978.8429446657,2340.18433542835,2563.09951218196,22012.2639390388,3021.57331378962,0,2.96000003814697,3.61500000953674,23.375,5.1383638381958,221.070083618164,78316.3437185375,76301.8774754988,21,21487.3621028182,986.788327860488,FALSE,FALSE,FALSE
"A0044238",106.403635790819,21.1461377235432,"Tang & Werner 2023",1.4526001329661,"Vietnam",16291.9802353474,2635.80401187075,2996.80731701976,22343.0787783051,3019.17674873098,420.90453098619,2.95600008964539,3.6159999370575,23.375,5.05131514867147,204.433420817057,78367.5139050566,76360.4723117167,31,21273.0469227521,1402.57216786513,FALSE,FALSE,FALSE
"A0044239",106.410075950079,21.146233547037,"Tang & Werner 2023",9.85379651016686,"Vietnam",16726.3112818447,1864.24201556132,2357.83676226333,22773.9061474487,2177.33765816092,0,2.95850002765656,3.61924996972084,23.40625,5.05195706231253,209.228557041713,77507.449012636,75500.8106075574,23.3333333333333,20461.3305037756,1808.23670333827,FALSE,FALSE,FALSE
"A0044240",106.413291558015,21.1539024505426,"Tang & Werner 2023",3.06947381787481,"Vietnam",16169.0688592129,2402.40174362365,3247.4185069927,23607.166318797,2038.39554578722,587.179968334707,2.96000003814697,3.61800003051758,23.375,5.30570459365845,263.073394775391,77549.770815219,75553.687487901,23,20138.5763340155,2697.56759814536,FALSE,FALSE,FALSE
"A0044241",106.412149244703,21.1561254732132,"Tang & Werner 2023",1.44831551772089,"Vietnam",15920.8860456937,2650.59524371775,3542.45812343014,23668.4090999108,2180.76025918867,860.960042321408,2.96000003814697,3.61450004577637,23.375,5.47757307688395,284.491490681966,77700.9572177584,75706.7661497513,24,20222.7984581901,2829.23062989769,FALSE,FALSE,FALSE
